source,question1,question2,question3,question4,question5,question6,question7,question8,disease,prompt
bing,What,are,the,symptoms,of,,,, ADHD,What are the symptoms of  ADHD ?
bing,What,are,the,symptoms,of,,,, Alzheimer’s ,What are the symptoms of  Alzheimer’s  ?
bing,What,are,the,symptoms,of,,,, anxiety,What are the symptoms of  anxiety ?
bing,What,are,the,symptoms,of,,,, bipolar disorder,What are the symptoms of  bipolar disorder ?
bing,What,are,the,symptoms,of,,,, breast cancer,What are the symptoms of  breast cancer ?
bing,What,are,the,symptoms,of,,,, celiac ,What are the symptoms of  celiac  ?
bing,What,are,the,symptoms,of,,,, chronic fatigue syndrome,What are the symptoms of  chronic fatigue syndrome ?
bing,What,are,the,symptoms,of,,,, Crohn’s ,What are the symptoms of  Crohn’s  ?
bing,What,are,the,symptoms,of,,,, depression,What are the symptoms of  depression ?
bing,What,are,the,symptoms,of,,,, endometriosis,What are the symptoms of  endometriosis ?
bing,What,are,the,symptoms,of,,,, fibromyalgia,What are the symptoms of  fibromyalgia ?
bing,What,are,the,symptoms,of,,,, irritable bowel syndrome,What are the symptoms of  irritable bowel syndrome ?
bing,What,are,the,symptoms,of,,,, lupus,What are the symptoms of  lupus ?
bing,What,are,the,symptoms,of,,,, multiple sclerosis,What are the symptoms of  multiple sclerosis ?
bing,What,are,the,symptoms,of,,,, osteoarthritis,What are the symptoms of  osteoarthritis ?
bing,What,are,the,symptoms,of,,,, Parkinson’s ,What are the symptoms of  Parkinson’s  ?
bing,What,are,the,symptoms,of,,,, polycystic ovary syndrome,What are the symptoms of  polycystic ovary syndrome ?
bing,What,are,the,symptoms,of,,,, rheumatoid arthritis,What are the symptoms of  rheumatoid arthritis ?
bing,What,are,the,symptoms,of,,,, schizophrenia,What are the symptoms of  schizophrenia ?
bing,What,are,the,symptoms,of,,,, ulcerative colitis,What are the symptoms of  ulcerative colitis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Acute intermittent porphyria,What is Acute intermittent porphyria ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Acute lymphoblastic leukemia,What is Acute lymphoblastic leukemia ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Acute promyelocytic leukemia and arsenic poisoning,What is Acute promyelocytic leukemia and arsenic poisoning ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Addison's disease caused by hypothalamic dysregulation/Hypopituitarism from brain surgery,What is Addison's disease caused by hypothalamic dysregulation/Hypopituitarism from brain surgery ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Air embolism from dental work,What is Air embolism from dental work ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,"Air embolism, pure red cell aplasia, thymoma, and myasthenia gravis","What is Air embolism, pure red cell aplasia, thymoma, and myasthenia gravis ?"
EverybodyWiki Bios & Wiki,What,is,,,,,,,Allergic reaction to cephalosporins (in misidentified patient),What is Allergic reaction to cephalosporins (in misidentified patient) ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Allergic reaction to tattoo ink.,What is Allergic reaction to tattoo ink. ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Alport syndrome (Boy),What is Alport syndrome (Boy) ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Amantadine poisoning due to kidney trauma,What is Amantadine poisoning due to kidney trauma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Anthrax and leprosy,What is Anthrax and leprosy ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Anti-Hu associated encephalitis secondary to small cell lung carcinoma,What is Anti-Hu associated encephalitis secondary to small cell lung carcinoma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Appendiceal Carcinoid,What is Appendiceal Carcinoid ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Arachnoid cyst on lower spine,What is Arachnoid cyst on lower spine ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Arnold–Chiari malformation,What is Arnold–Chiari malformation ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Arteriovenous malformation,What is Arteriovenous malformation ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Ascariasis,What is Ascariasis ?
EverybodyWiki Bios & Wiki,What,are,the,symptoms,of,,,,asthma,What are the symptoms of asthma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Atrial myxoma,What is Atrial myxoma ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Autoimmune hemolytic anemia in systemic lupus erythematosus,What is Autoimmune hemolytic anemia in systemic lupus erythematosus ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Autoimmune response to an inhaled piece of plant matter,What is Autoimmune response to an inhaled piece of plant matter ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Autoimmunity secondary to Doege-Potter syndrome,What is Autoimmunity secondary to Doege-Potter syndrome ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Bacterial infection due to suicide attempt,What is Bacterial infection due to suicide attempt ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Bartonellosis,What is Bartonellosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Baylisascaris,What is Baylisascaris ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,"Behçet's disease, then hepatitis C and hepatocellular carcinoma from a liver transplant","What is Behçet's disease, then hepatitis C and hepatocellular carcinoma from a liver transplant ?"
EverybodyWiki Bios & Wiki,What,is,,,,,,,Benign tumor in the kidney and antibiotic allergy,What is Benign tumor in the kidney and antibiotic allergy ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Bipolar disorder and Cerebral malaria,What is Bipolar disorder and Cerebral malaria ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Blastomycosis,What is Blastomycosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Breast cancer,What is Breast cancer ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Brucellosis (Henry),What is Brucellosis (Henry) ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Bubonic plague,What is Bubonic plague ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Cadmium poisoning,What is Cadmium poisoning ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Candidiasis secondary to Sjögren's syndrome,What is Candidiasis secondary to Sjögren's syndrome ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Cavernous angioma and radiation poisoning,What is Cavernous angioma and radiation poisoning ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Cerebellar schistosomiasis delayed hypersensitivity allergy,What is Cerebellar schistosomiasis delayed hypersensitivity allergy ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Chagas disease,What is Chagas disease ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Chickenpox,What is Chickenpox ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Chimerism,What is Chimerism ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Chlamydia and pregnancy due to rape,What is Chlamydia and pregnancy due to rape ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Choriocarcinoma and dissociative identity disorder (Iris),What is Choriocarcinoma and dissociative identity disorder (Iris) ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Chronic granulomatous disease,What is Chronic granulomatous disease ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Clinical depression,What is Clinical depression ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Clostridium perfringens and Munchausen syndrome,What is Clostridium perfringens and Munchausen syndrome ?
EverybodyWiki Bios & Wiki,What,are,some,ways,to,relieve,,,cluster headaches,What are some ways to relieve cluster headaches ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Cobalt poisoning secondary to metallosis,What is Cobalt poisoning secondary to metallosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Coccidioidomycosis,What is Coccidioidomycosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Colchicine poisoning,What is Colchicine poisoning ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Congenital cystic adenomatoid malformation,What is Congenital cystic adenomatoid malformation ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Congenital heart defect (infected third coronary artery ostium primum),What is Congenital heart defect (infected third coronary artery ostium primum) ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Congestive heart failure onset by bulimia and regular use of ipecac,What is Congestive heart failure onset by bulimia and regular use of ipecac ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Congestive heart failure secondary to senile AA-type cardiac amyloidosis,What is Congestive heart failure secondary to senile AA-type cardiac amyloidosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Conversion disorder (Other passengers),What is Conversion disorder (Other passengers) ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Copperallergy,What is Copperallergy ?
EverybodyWiki Bios & Wiki,What,are,the,symptoms,of,,,,COVID-19,What are the symptoms of COVID-19 ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Crohn's disease,What is Crohn's disease ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Cryopyrin-associated periodic syndrome,What is Cryopyrin-associated periodic syndrome ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Cushing's disease,What is Cushing's disease ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Decompression sickness,What is Decompression sickness ?
EverybodyWiki Bios & Wiki,What,are,the,risk,factors,associated,with,,diabetes,What are the risk factors associated with diabetes ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Diffuse lepromatous leprosy,What is Diffuse lepromatous leprosy ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Diphtheria,What is Diphtheria ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Diphyllobothrium latum causing Vitamin B12 deficiency,What is Diphyllobothrium latum causing Vitamin B12 deficiency ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Echinococcosis,What is Echinococcosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Echovirus 11,What is Echovirus 11 ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Ectopic endometriosis,What is Ectopic endometriosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Ehlers–Danlos syndrome leading to compulsive hoarding and Q fever,What is Ehlers–Danlos syndrome leading to compulsive hoarding and Q fever ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Endocarditis secondary to psittacosis,What is Endocarditis secondary to psittacosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Entamoeba,What is Entamoeba ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Eosinophilic pneumonitis,What is Eosinophilic pneumonitis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Eperythrozoon infection,What is Eperythrozoon infection ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Epilepsy,What is Epilepsy ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Erdheim–Chester disease,What is Erdheim–Chester disease ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Ergotism,What is Ergotism ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Erythropoietic protoporphyria,What is Erythropoietic protoporphyria ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Fabry disease,What is Fabry disease ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Familial Mediterranean fever,What is Familial Mediterranean fever ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Fat embolism due to amputation,What is Fat embolism due to amputation ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Fat embolism from unrepaired broken toe,What is Fat embolism from unrepaired broken toe ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Fitz-Hugh–Curtis syndrome secondary to gonorrhea,What is Fitz-Hugh–Curtis syndrome secondary to gonorrhea ?
EverybodyWiki Bios & Wiki,What,are,the,symptoms,of,the,,,flu,What are the symptoms of the flu ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Food bolus bezoar complicated by pharmaceutical drug use,What is Food bolus bezoar complicated by pharmaceutical drug use ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Food lodged in the lung,What is Food lodged in the lung ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Fulminating osteomyelitis,What is Fulminating osteomyelitis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Giant-cell arteritis,What is Giant-cell arteritis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Glomus tumor,What is Glomus tumor ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Gold sodium thiomalate poisoning,What is Gold sodium thiomalate poisoning ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Gonorrhea,What is Gonorrhea ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Granulomatosis with polyangiitis,What is Granulomatosis with polyangiitis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Haemochromatosis,What is Haemochromatosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Haemochromatosis and zygomycosis,What is Haemochromatosis and zygomycosis ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,Hallucinations,What is Hallucinations ?
EverybodyWiki Bios & Wiki,What,are,some,,home,remedies,for,a,headache,What are some home remedies for a headache ?
EverybodyWiki Bios & Wiki,What,are,some,,non-pharmacological,treatments,for,,headaches,What are some non-pharmacological treatments for headaches ?
EverybodyWiki Bios & Wiki,What,are,some,,alternatives,of,therapies,for,headaches,What are some alternatives of therapies for headaches ?
EverybodyWiki Bios & Wiki,What,are,some,ways,to,prevent,,,headaches,What are some ways to prevent headaches ?
EverybodyWiki Bios & Wiki,What,are,the,symptoms,of,,,,heart attack,What are the symptoms of heart attack ?
EverybodyWiki Bios & Wiki,What,is,,,,,,,"Heat stroke, followed deliberate in-hospital Thallium poisoning to mimic Polio","What is Heat stroke, followed deliberate in-hospital Thallium poisoning to mimic Polio ?"
